"SG_UF","SG_UE","str_to_title(NM_UE)","final_name"
"AC","01023","Porto Acre","Porto Acre (AC)"
"AC","01074","Cruzeiro Do Sul","Cruzeiro Do Sul (AC)"
"AC","01082","Rodrigues Alves","Rodrigues Alves (AC)"
"AC","01112","Epitaciolândia","Epitaciolândia (AC)"
"AC","01139","Feijó","Feijó (AC)"
"AC","01392","Rio Branco","Rio Branco (AC)"
"AC","01457","Sena Madureira","Sena Madureira (AC)"
"AC","01473","Tarauacá","Tarauacá (AC)"
"AC","01511","Plácido De Castro","Plácido De Castro (AC)"
"AC","01538","Senador Guiomard","Senador Guiomard (AC)"
"AC","01554","Manoel Urbano","Manoel Urbano (AC)"
"AL","27006","Paripueira","Paripueira (AL)"
"AL","27022","Pariconha","Pariconha (AL)"
"AL","27049","Estrela De Alagoas","Estrela De Alagoas (AL)"
"AL","27057","Arapiraca","Arapiraca (AL)"
"AL","27065","Jequiá Da Praia","Jequiá Da Praia (AL)"
"AL","27073","Atalaia","Atalaia (AL)"
"AL","27081","Campestre","Campestre (AL)"
"AL","27090","Barra De Santo Antônio","Barra De Santo Antônio (AL)"
"AL","27111","Barra De São Miguel","Barra De São Miguel (AL)"
"AL","27138","Batalha","Batalha (AL)"
"AL","27170","Belo Monte","Belo Monte (AL)"
"AL","27197","Boca Da Mata","Boca Da Mata (AL)"
"AL","27278","Campo Alegre","Campo Alegre (AL)"
"AL","27316","Canapi","Canapi (AL)"
"AL","27332","Capela","Capela (AL)"
"AL","27359","Carneiros","Carneiros (AL)"
"AL","27391","Coité Do Nóia","Coité Do Nóia (AL)"
"AL","27413","Colônia Leopoldina","Colônia Leopoldina (AL)"
"AL","27430","Coqueiro Seco","Coqueiro Seco (AL)"
"AL","27472","Delmiro Gouveia","Delmiro Gouveia (AL)"
"AL","27499","Dois Riachos","Dois Riachos (AL)"
"AL","27510","Feira Grande","Feira Grande (AL)"
"AL","27553","Flexeiras","Flexeiras (AL)"
"AL","27634","Igreja Nova","Igreja Nova (AL)"
"AL","27650","Inhapi","Inhapi (AL)"
"AL","27693","Jacuípe","Jacuípe (AL)"
"AL","27715","Japaratinga","Japaratinga (AL)"
"AL","27758","Joaquim Gomes","Joaquim Gomes (AL)"
"AL","27774","Jundiá","Jundiá (AL)"
"AL","27790","Junqueiro","Junqueiro (AL)"
"AL","27812","Lagoa Da Canoa","Lagoa Da Canoa (AL)"
"AL","27839","Limoeiro De Anadia","Limoeiro De Anadia (AL)"
"AL","27855","Maceió","Maceió (AL)"
"AL","27871","Major Isidoro","Major Isidoro (AL)"
"AL","27898","Maragogi","Maragogi (AL)"
"AL","27936","Marechal Deodoro","Marechal Deodoro (AL)"
"AL","27995","Mata Grande","Mata Grande (AL)"
"AL","28010","Matriz De Camaragibe","Matriz De Camaragibe (AL)"
"AL","28118","Novo Lino","Novo Lino (AL)"
"AL","28134","Olho D Água Das Flores","Olho D Água Das Flores (AL)"
"AL","28150","Olho D Água Do Casado","Olho D Água Do Casado (AL)"
"AL","28193","Olivença","Olivença (AL)"
"AL","28215","Ouro Branco","Ouro Branco (AL)"
"AL","28231","Palestina","Palestina (AL)"
"AL","28258","Palmeira Dos Índios","Palmeira Dos Índios (AL)"
"AL","28274","Pão De Açúcar","Pão De Açúcar (AL)"
"AL","28355","Piaçabuçu","Piaçabuçu (AL)"
"AL","28371","Pilar","Pilar (AL)"
"AL","28410","Piranhas","Piranhas (AL)"
"AL","28452","Porto Calvo","Porto Calvo (AL)"
"AL","28479","Porto De Pedras","Porto De Pedras (AL)"
"AL","28495","Porto Real Do Colégio","Porto Real Do Colégio (AL)"
"AL","28533","Rio Largo","Rio Largo (AL)"
"AL","28550","Roteiro","Roteiro (AL)"
"AL","28576","Santa Luzia Do Norte","Santa Luzia Do Norte (AL)"
"AL","28592","Santana Do Ipanema","Santana Do Ipanema (AL)"
"AL","28630","São Brás","São Brás (AL)"
"AL","28657","São José Da Laje","São José Da Laje (AL)"
"AL","28690","São Luís Do Quitunde","São Luís Do Quitunde (AL)"
"AL","28754","São Sebastião","São Sebastião (AL)"
"AL","28819","Taquarana","Taquarana (AL)"
"AL","28851","União Dos Palmares","União Dos Palmares (AL)"
"AL","28878","Viçosa","Viçosa (AL)"
"AL","28894","Craíbas","Craíbas (AL)"
"AL","28916","Senador Rui Palmeira","Senador Rui Palmeira (AL)"
"AL","28932","Teotônio Vilela","Teotônio Vilela (AL)"
"AM","02046","Careiro Da Várzea","Careiro Da Várzea (AM)"
"AM","02070","Autazes","Autazes (AM)"
"AM","02097","Barcelos","Barcelos (AM)"
"AM","02119","Barreirinha","Barreirinha (AM)"
"AM","02135","Benjamin Constant","Benjamin Constant (AM)"
"AM","02194","Canutama","Canutama (AM)"
"AM","02232","Careiro","Careiro (AM)"
"AM","02259","Coari","Coari (AM)"
"AM","02275","Codajás","Codajás (AM)"
"AM","02410","Itacoatiara","Itacoatiara (AM)"
"AM","02470","Juruá","Juruá (AM)"
"AM","02496","Jutaí","Jutaí (AM)"
"AM","02518","Lábrea","Lábrea (AM)"
"AM","02534","Manacapuru","Manacapuru (AM)"
"AM","02550","Manaus","Manaus (AM)"
"AM","02615","Maués","Maués (AM)"
"AM","02658","Nova Olinda Do Norte","Nova Olinda Do Norte (AM)"
"AM","02690","Parintins","Parintins (AM)"
"AM","02810","Tefé","Tefé (AM)"
"AM","02950","Beruri","Beruri (AM)"
"AM","02976","Boa Vista Do Ramos","Boa Vista Do Ramos (AM)"
"AM","98370","Itamarati","Itamarati (AM)"
"AM","98418","Presidente Figueiredo","Presidente Figueiredo (AM)"
"AM","98434","Rio Preto Da Eva","Rio Preto Da Eva (AM)"
"AP","06050","Macapá","Macapá (AP)"
"AP","06076","Mazagão","Mazagão (AP)"
"AP","06130","Laranjal Do Jari","Laranjal Do Jari (AP)"
"AP","06157","Santana","Santana (AP)"
"AP","06173","Tartarugalzinho","Tartarugalzinho (AP)"
"BA","30007","Luís Eduardo Magalhães","Luís Eduardo Magalhães (BA)"
"BA","30058","Eunápolis","Eunápolis (BA)"
"BA","30660","Iuiu","Iuiu (BA)"
"BA","30678","Jaborandi","Jaborandi (BA)"
"BA","30694","Jussari","Jussari (BA)"
"BA","30716","América Dourada","América Dourada (BA)"
"BA","30759","Barro Alto","Barro Alto (BA)"
"BA","30830","Capim Grosso","Capim Grosso (BA)"
"BA","30872","Dias D Ávila","Dias D Ávila (BA)"
"BA","30899","Fátima","Fátima (BA)"
"BA","30910","Filadélfia","Filadélfia (BA)"
"BA","30996","João Dourado","João Dourado (BA)"
"BA","33014","Abaíra","Abaíra (BA)"
"BA","33065","Adustina","Adustina (BA)"
"BA","33073","Água Fria","Água Fria (BA)"
"BA","33090","Érico Cardoso","Érico Cardoso (BA)"
"BA","33138","Alagoinhas","Alagoinhas (BA)"
"BA","33154","Alcobaça","Alcobaça (BA)"
"BA","33170","Almadina","Almadina (BA)"
"BA","33197","Amargosa","Amargosa (BA)"
"BA","33219","Amélia Rodrigues","Amélia Rodrigues (BA)"
"BA","33260","Andorinha","Andorinha (BA)"
"BA","33294","Anguera","Anguera (BA)"
"BA","33332","Antônio Cardoso","Antônio Cardoso (BA)"
"BA","33359","Antônio Gonçalves","Antônio Gonçalves (BA)"
"BA","33383","Araçás","Araçás (BA)"
"BA","33391","Aracatu","Aracatu (BA)"
"BA","33405","Apuarema","Apuarema (BA)"
"BA","33413","Araci","Araci (BA)"
"BA","33430","Aramari","Aramari (BA)"
"BA","33472","Aurelino Leal","Aurelino Leal (BA)"
