"year","NR_IDENTIFICACAO_PESQUISA","SG_UE","CD_CARGO","estimulada","scenario_id","result","DT_FIM_PESQUISA","NR_CNPJ_EMPRESA","QT_ENTREVISTADOS","is_fluxo","is_phone","self_hired","turno","main_source","source","vv","NOME_CANDIDATO","NUMERO_CANDIDATO","is_complete","polled_UE","state","group_digest","company_id","pretty_name","unique_poll","first_round_date","second_round_date","candidate_registry_date","QTDE_VOTOS","qtde_all_valid","partisan","DT_INICIO_PESQUISA","hirer","confidence_interval_final","error_final","non_partisan","valid_result","pct","undecided"
2012,"SP000872012","71072",11,0,3647,13,2012-06-26,"07630546000175",1000,TRUE,FALSE,FALSE,1,"Pindograma-PDFParser","datafolha2012.csv",FALSE,"JOSE SERRA",45,FALSE,"71072","SP","88c665e92a9ad0aca80dd4227cb67a3a","07630546000175","Datafolha",9471,2012-10-07,2012-10-28,2012-07-05,1884849,6128657,FALSE,2012-06-25,"Empresa Folha da Manhã S/A.",95,3,TRUE,50,31.5148609907728,74
2012,"SP000872012","71072",11,0,3647,3,2012-06-26,"07630546000175",1000,TRUE,FALSE,FALSE,1,"Pindograma-PDFParser","datafolha2012.csv",FALSE,"FERNANDO HADDAD",13,FALSE,"71072","SP","88c665e92a9ad0aca80dd4227cb67a3a","07630546000175","Datafolha",9471,2012-10-07,2012-10-28,2012-07-05,1776317,6128657,FALSE,2012-06-25,"Empresa Folha da Manhã S/A.",95,3,TRUE,11.5384615384615,29.7001952573106,74
2012,"SP000872012","71072",11,0,3647,2,2012-06-26,"07630546000175",1000,TRUE,FALSE,FALSE,1,"Pindograma-PDFParser","datafolha2012.csv",FALSE,"GABRIEL BENEDITO ISSAAC CHALITA",15,FALSE,"71072","SP","88c665e92a9ad0aca80dd4227cb67a3a","07630546000175","Datafolha",9471,2012-10-07,2012-10-28,2012-07-05,833255,6128657,FALSE,2012-06-25,"Empresa Folha da Manhã S/A.",95,3,TRUE,7.69230769230769,13.9321056991125,74
2012,"SP000872012","71072",11,0,3647,1,2012-06-26,"07630546000175",1000,TRUE,FALSE,FALSE,1,"Pindograma-PDFParser","datafolha2012.csv",FALSE,"SONIA FRANCINE GASPAR MARMO",23,FALSE,"71072","SP","88c665e92a9ad0aca80dd4227cb67a3a","07630546000175","Datafolha",9471,2012-10-07,2012-10-28,2012-07-05,162384,6128657,FALSE,2012-06-25,"Empresa Folha da Manhã S/A.",95,3,TRUE,3.84615384615385,2.71507647940268,74
2016,"MA067592016","07935",11,0,1887,31,2016-07-23,"10892795000143",400,FALSE,FALSE,FALSE,1,"Pindograma-PDFParser","escutec_v2.csv",FALSE,"MERCIAL LIMA ARRUDA",15,FALSE,"07935","MA","42928e5110198daccab9d5e9b0e06882","10892795000143","Escutec",4101,2016-10-02,2016-10-30,2016-08-15,20352,36339,TRUE,2016-07-21,"PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO / PMDB - MA",95,4,FALSE,71.264367816092,57.339268608779,56.5
2016,"MA067592016","07935",11,0,1887,11,2016-07-23,"10892795000143",400,FALSE,FALSE,FALSE,1,"Pindograma-PDFParser","escutec_v2.csv",FALSE,"SIMONE GAURET SERAFIM",65,FALSE,"07935","MA","42928e5110198daccab9d5e9b0e06882","10892795000143","Escutec",4101,2016-10-02,2016-10-30,2016-08-15,14785,36339,TRUE,2016-07-21,"PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO / PMDB - MA",95,4,FALSE,25.2873563218391,41.6549275933961,56.5
2016,"MA067592016","07935",11,0,1887,1.5,2016-07-23,"10892795000143",400,FALSE,FALSE,FALSE,1,"Pindograma-PDFParser","escutec_v2.csv",FALSE,"ADOAN MARQUES SOUSA",36,FALSE,"07935","MA","42928e5110198daccab9d5e9b0e06882","10892795000143","Escutec",4101,2016-10-02,2016-10-30,2016-08-15,357,36339,TRUE,2016-07-21,"PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO / PMDB - MA",95,4,FALSE,3.44827586206897,1.00580379782498,56.5
2016,"PI085672016","12190",11,0,2727,5.6,2016-06-27,"10892795000143",1000,FALSE,FALSE,FALSE,1,"Pindograma-PDFParser","escutec_v2.csv",FALSE,"AMADEU CAMPOS CARVALHO FILHO",14,FALSE,"12190","PI","c64547bd2720a9eda1e3678e76983ec6","10892795000143","Escutec",7194,2016-10-02,2016-10-30,2016-08-15,28669,430282,FALSE,2016-06-24,"SISTEMA TIMON",95,3,TRUE,16.7164179104478,6.82881397919128,66.5
2016,"PI085672016","12190",11,0,2727,15.7,2016-06-27,"10892795000143",1000,FALSE,FALSE,FALSE,1,"Pindograma-PDFParser","escutec_v2.csv",FALSE,"FIRMINO SILVEIRA SOARES FILHO",45,FALSE,"12190","PI","c64547bd2720a9eda1e3678e76983ec6","10892795000143","Escutec",7194,2016-10-02,2016-10-30,2016-08-15,220042,430282,FALSE,2016-06-24,"SISTEMA TIMON",95,3,TRUE,46.865671641791,52.4129158885628,66.5
2016,"PI085672016","12190",11,0,2727,12.2,2016-06-27,"10892795000143",1000,FALSE,FALSE,FALSE,1,"Pindograma-PDFParser","escutec_v2.csv",FALSE,"JOSE PESSOA LEAL",55,FALSE,"12190","PI","c64547bd2720a9eda1e3678e76983ec6","10892795000143","Escutec",7194,2016-10-02,2016-10-30,2016-08-15,171113,430282,FALSE,2016-06-24,"SISTEMA TIMON",95,3,TRUE,36.4179104477612,40.7582701322459,66.5
