"NOME_URNA_CANDIDATO","CODIGO_CARGO","SIGLA_UE","NUMERO_CANDIDATO","NUM_TURNO","ANO_ELEICAO"
"DR FABIO HOLANDA",11,"08095",43,1,2020
"CLEOMAR CONTADOR",11,"92932",17,1,2020
"DR KENY",11,"41858",12,1,2020
"SILVIO SAUDE",11,"90883",15,1,2020
"PAULO ARGEU FERNANDES",11,"86533",12,1,2020
"HILDECIO MEIRELES",11,"34070",25,1,2020
"DR JUNIOR",11,"08052",12,1,2020
"POETA O REPORTER POVAO",11,"17418",50,1,2020
"DUGUINHA",11,"25658",45,1,2020
"LAERTON WEBER",11,"74560",25,1,2020
"RADINHO",11,"02097",20,1,2020
"LUCIANA ALVES",11,"17434",43,1,2020
"GEL",11,"33332",55,1,2020
"GABRIELA CESQUIM",11,"46833",14,1,2020
"ROSALBA CIARLINI",11,"17590",11,1,2020
"DR JERONIMO",11,"04278",35,1,2020
"DAGOBERTO",11,"90514",12,1,2020
"MARQUINHO",11,"92371",15,1,2020
"EUVALDETE FERRO",11,"13510",15,1,2020
"FLAVIO MAIORKY",11,"78590",45,1,2020
"JADER MOTA",11,"02470",13,1,2020
"RENATO ARLIVRE",11,"91251",70,1,2020
"CHARLES GOMES",11,"00558",55,1,2020
"PATRICIA",11,"04642",10,1,2020
"ALAN ROCHA",11,"38954",25,1,2020
"MAGNUM CARDOSO",11,"12688",11,1,2020
"PROFESSORA EDIANE",11,"56146",40,1,2020
"FRANCISCO LEITE",11,"23230",17,1,2020
"MARIA",11,"35793",11,1,2020
"ADILSON STUZATA",11,"78859",13,1,2020
"PROFESSOR IRINEU",11,"43710",17,1,2020
"GUSTAVO GAYER",11,"93734",27,1,2020
"JUNIOR CAIAPONIA",11,"92878",40,1,2020
"CHICO LOCO",11,"70793",40,1,2020
"MARIOZAM RADIO",11,"58670",36,1,2020
"DR SILVINO",11,"24198",14,1,2020
"DR WAGNER",11,"12238",11,1,2020
"ANTONIO COELHO",11,"10707",11,1,2020
"DR ANDRE",11,"19658",12,1,2020
"BRUNO NETO",11,"10111",15,1,2020
"AFONSO GAIA",11,"28592",25,1,2020
"TOM BONFIM",11,"05614",13,1,2020
"PROFESSOR ADIR",11,"90930",65,1,2020
"SOCORRINHA",11,"04995",15,1,2020
"BERG LISBOA",11,"16810",55,1,2020
"DIVINO ENFERMEIRO",11,"73326",43,1,2020
"CORONEL DOLVIM",11,"17795",28,1,2020
"CORONEL BELELI",11,"92894",17,1,2020
"CARLOS MAGNO",11,"56430",45,1,2020
"DONIZETE BARRACO",11,"91596",25,1,2020
"MARCAO",11,"35017",11,1,2020
"FILIPE NAEL",11,"23043",14,1,2020
"AKIRA AURIANI",11,"69833",40,1,2020
"ASSIS",11,"08036",25,1,2020
"CORONEL PECANHA",11,"53430",23,1,2020
"JULIO PINA",11,"92703",28,1,2020
"PEDRO CALISTO",11,"15652",15,1,2020
"SARGENTO ELTON",11,"44458",51,1,2020
"CICERO MESSIAS LIMA",11,"28371",36,1,2020
"DELEGADO DOUTOR SERGIO",11,"89850",17,1,2020
"CE",11,"38865",90,1,2020
"GUERINO BALESTRASSI",11,"56294",20,1,2020
"LUCIANO MOREIRA",11,"24414",19,1,2020
"JOAO BATISTA",11,"11134",27,1,2020
"ARMINDO CAYRES ALMEIDA",11,"92541",77,1,2020
"PAULINHO CARACARAI",11,"03034",45,1,2020
"EDINHO",11,"90158",45,1,2020
"FERNANDA SILVA",11,"39535",13,1,2020
"PAULO LEMOS",11,"06050",50,1,2020
"ADRIANO PEIXOTO",11,"92983",11,1,2020
"DR LEANDRO",11,"71455",25,1,2020
"ZE AUGUSTO",11,"33294",19,1,2020
"LUCIANO HONORIO",11,"18430",45,1,2020
"GILBERTO GIBA",11,"68535",50,1,2020
"CONSTANTINO CASTRO",11,"07579",14,1,2020
"ULYSSES MAIA",11,"65110",50,1,2020
"MARCELO OLIVEIRA",11,"66893",13,1,2020
"MANUILSON ANDRADE",11,"27413",15,1,2020
"GILSON SERRARIA",11,"10537",17,1,2020
"MATEUS",11,"49778",77,1,2020
"EDUARDO BUENO",11,"64297",25,1,2020
"JHONATAN LAURINDO",11,"79871",11,1,2020
"ELIAS PATRIOTA",11,"16918",17,1,2020
"PROFESSOR MOROTTI PT",11,"74110",13,1,2020
"PAULO ROBERTO",11,"44717",43,1,2020
"DEDIZIM",11,"94137",77,1,2020
"SARGENTO BUENO HERNANY",11,"93610",77,1,2020
"CARLOMANO MARQUES",11,"14958",15,1,2020
"DR SILVESTRE",11,"58084",11,1,2020
"ELENIL",11,"92410",15,1,2020
"KIKO",11,"69671",45,1,2020
"GERONCIO FILHO",11,"02097",13,1,2020
"ONIO LIRA",11,"20214",19,1,2020
"VENANCINHO",11,"07129",25,1,2020
"CRISOGONO VIEIRA",11,"08877",55,1,2020
"DR GLAUBERT ANDRADE",11,"08370",14,1,2020
"FABRICIO PETRI",11,"56073",40,1,2020
"PROFESSOR NARCISO GENUINO",11,"17655",50,1,2020
"ELIAS DAL COL",11,"56413",55,1,2020
"BIRA",11,"10561",55,1,2020
"MACHADO",11,"69698",13,1,2020
"DR IZAIAS JUNIOR",11,"56235",45,1,2020
"SAMUEL MARQUES",11,"15679",70,1,2020
"DOUTOR HAROLDO",11,"07668",27,1,2020
"JUSSARA MENICUCCI",11,"47635",40,1,2020
"TIAGO PISO",11,"92703",17,1,2020
"NETINHO",11,"12106",55,1,2020
"CARLOS SAMUEL",11,"10529",22,1,2020
"SUBTENENTE PAULO SERGIO",11,"56235",14,1,2020
"ERICA GORGA",11,"68756",51,1,2020
"CARLOS PEPER",11,"71455",77,1,2020
"MICHELE QUEIROZ",11,"13439",22,1,2020
"ZOMINHO",11,"31194",22,1,2020
"CASCALHO",11,"36650",40,1,2020
"DR ZE VICENTE",11,"57975",45,1,2020
"EDGAR MIRANDA",11,"39810",55,1,2020
"GUTO SANTA CRUZ",11,"24910",12,1,2020
"ANGELA VANESSA",11,"28657",11,1,2020
"MARCIO CAVALCANTI",11,"18236",43,1,2020
"DR GIOVANNI",11,"42676",17,1,2020
"JOTA JEO",11,"27073",19,1,2020
"DARIO SAADI",11,"62910",10,1,2020
"ADAUTO MENDES",11,"73474",15,1,2020
"DONIZETE BADECO",11,"93440",45,1,2020
"CESAR CESA",11,"80276",15,1,2020
"MARCELO ELIAS",11,"22250",27,1,2020
"MARCAO POVO",11,"94714",17,1,2020
"MAIER",11,"83879",22,1,2020
"JOSE ALMEIDA",11,"74969",17,1,2020
"NENEM BATATA",11,"23990",20,1,2020
"GLAUBER SILVA",11,"11592",12,1,2020
"MARCELO RADIO CIDADE",11,"76295",22,1,2020
"FABIO SATO",11,"69299",15,1,2020
"PROFESSOR SILVANO",11,"93300",13,1,2020
"DR THIAGO",11,"56553",10,1,2020
"JOAO ANDRADE",11,"92002",25,1,2020
"MAURO",11,"90468",55,1,2020
"SERGIO AZEVEDO",11,"50350",45,1,2020
"RAIMUNDO DENTISTA",11,"37036",55,1,2020
"LUCIANE STOBE",11,"80810",14,1,2020
"DR JANES CLEI",11,"07560",12,1,2020
"MARTHA MAIA",11,"90050",11,1,2020
"LEO COSTA",11,"07331",20,1,2020
"JANIO MORAES",11,"23477",10,1,2020
"BEDA",11,"39438",15,1,2020
"SEBASTIAO NETO",11,"91650",77,1,2020
"PAULO DAMES",11,"58254",55,1,2020
"ADAO NUNES",11,"07315",17,1,2020
"BAYARD",11,"70718",14,1,2020
"CARLINHOS EGITO",11,"95958",90,1,2020
"LUCIANO NASCIMENTO",11,"32131",25,1,2020
"DR MACEDO",11,"04804",25,1,2020
"MAX LEMOS",11,"58696",45,1,2020
"SILVANO NEVES",11,"98795",15,1,2020
"NENEM",11,"39411",11,1,2020
"GEYSE MURIAN",11,"17310",45,1,2020
"ALTAIR CAITANO",11,"75132",13,1,2020
"ORIVALDO DONZELLI",11,"64254",14,1,2020
"ANDRE CHAVES",11,"92770",15,1,2020
"MARCIA PARA",11,"66192",27,1,2020
"BARROS",11,"68535",11,1,2020
"FERNANDO BRENO",11,"43850",51,1,2020
"GISELLY CINTRA",11,"92070",45,1,2020
"AURELIO FARMACIA",11,"08710",22,1,2020
"DIC FARMACIA",11,"38555",15,1,2020
"GELSON DILL",11,"04383",15,1,2020
"KLEBER MONTEZUMA",11,"12190",45,1,2020
"PAULA COLARES",11,"13897",80,1,2020
"GUTIERRES TORQUATO",11,"93858",40,1,2020
"VALDIR PIGNATA",11,"76910",23,1,2020
"LEO STRAMARO",11,"58750",28,1,2020
"JAILTON",11,"27111",27,1,2020
"CEZAR SILVA",11,"19658",40,1,2020
"PATRICIA SALAO",11,"41343",45,1,2020
"HENRIQUE CESAR",11,"10057",55,1,2020
"LUCIANA SALITURI",11,"64750",51,1,2020
"ANTONIO CARLOS",11,"28452",33,1,2020
"GERALDO SERAFIM",11,"20052",45,1,2020
"ILCA DOMINGOS",11,"91154",15,1,2020
"MAILDE TETE",11,"23698",10,1,2020
"ALLAN BITAR",11,"04154",23,1,2020
"ANTONIO JUNIOR",11,"05193",70,1,2020
"LUCINEIDE BARROS",11,"12190",50,1,2020
"DR PITAGORAS",11,"34290",11,1,2020
"GRACA MENEZES",11,"02410",18,1,2020
"MANELZINHO FRANGO",11,"08605",18,1,2020
"EVERTON ROCHA",11,"36552",45,1,2020
"WILLIAN LUZ",11,"59277",13,1,2020
"FERNANDO",11,"80829",55,1,2020
"PASTOR ALEX",11,"04081",20,1,2020
"AUDALIO TENORIO",11,"27812",14,1,2020
"JADSON MENDES",11,"17914",45,1,2020
"ILSON BAIANO",11,"07650",35,1,2020
"JOEL LUCAS",11,"50911",45,1,2020
"JUNINHO",11,"41254",77,1,2020
"VALTEIR QUEIROZ",11,"00477",51,1,2020
"ANDRE OLIVEIRA",11,"81639",19,1,2020
"ROBSON CANTU",11,"77518",55,1,2020
"PROFESSOR FELIPE DAMASIO",11,"80276",50,1,2020
"CIDO SARAIVA",11,"61557",15,1,2020
"ZE ROBERTO",11,"02194",20,1,2020
"PEDRO BARBOSA",11,"31151",55,1,2020
"GABRIEL JATOBA",11,"28550",20,1,2020
"LEO NECO",11,"35238",11,1,2020
"ARMANDO POVAO",11,"16713",50,1,2020
"JACE A VOZ POVO",11,"34630",90,1,2020
"ALINE VIEIRA",11,"13471",22,1,2020
"MARCELLO SANTANA",11,"36854",15,1,2020
"CLOVIS MARTINS",11,"91294",14,1,2020
"ANINHA",11,"08990",12,1,2020
"FABIO ARAUJO",11,"16071",15,1,2020
"RONALDO MAGALHAES",11,"46337",14,1,2020
"FABIANO",11,"65633",13,1,2020
"MAURICIO CAVALCANTI",11,"04308",15,1,2020
"DRA REGINA",11,"07668",77,1,2020
"JUNINHO VIEIRA",11,"49190",51,1,2020
"PEDRINHO MINASACONTECE",11,"40312",17,1,2020
"DR LUCIANO",11,"45535",20,1,2020
"ALAN JUCIE",11,"10006",55,1,2020
"ENGENHEIRO NASSER",11,"62219",12,1,2020
"SANDRA JAQUELINE",11,"16144",15,1,2020
"SERGIO BORGES",11,"76058",45,1,2020
"ATILA",11,"66893",40,1,2020
"EMMANUEL LOBO",11,"77453",29,1,2020
"AIRTON COPATTI",11,"79715",15,1,2020
"ERALDO CB",11,"02976",20,1,2020
"DR LORIM",11,"14699",12,1,2020
"ROBSON LUCIO",11,"16438",10,1,2020
"DR PAULO",11,"33839",70,1,2020
"RAFAELA LOSI",11,"75094",55,1,2020
"CLAUDIO FERREIRA",11,"91510",27,1,2020
"DIONI ALVES",11,"08184",77,1,2020
"GALO CEGO",11,"38318",50,1,2020
"GILBERTO GONCALVES",11,"28533",11,1,2020
"ATAIDE AVEZAO",11,"00230",19,1,2020
"ZEZE",11,"11134",43,1,2020
"CESAR RESENDE",11,"32212",12,1,2020
"MARCIA",11,"30678",22,1,2020
"EDINALDO MOURA",11,"08494",27,1,2020
"MATIOLO",11,"81639",13,1,2020
"DR MASULO",11,"02534",18,1,2020
"DR FILIPE BARROS",11,"10200",90,1,2020
"ESTEVINHO",11,"08192",14,1,2020
"MANOEL CASA BRANCA",11,"05754",25,1,2020
"MARIO MARCUS",11,"43656",25,1,2020
"ISAC PT",11,"30058",13,1,2020
"JOSE TEIXEIRA",11,"69833",17,1,2020
"ADEMARIO",11,"63711",45,1,2020
"MANOEL NERY",11,"90492",25,1,2020
"GUTO SCARPANTI",11,"90514",30,1,2020
"PATROCINIO",11,"04804",45,1,2020
"NILSON BURITIS TRANSPORTES",11,"00779",14,1,2020
"HUGO MENDONCA",11,"34509",22,1,2020
"RADIOVALDO COSTA",11,"33138",13,1,2020
"ABDO",11,"90956",45,1,2020
"PATRICIA CEZAR",11,"55000",11,1,2020
"SOBRINHO",11,"19054",11,1,2020
"CAPITAO WAGNER",11,"13897",90,1,2020
"LENILDA LUNA",11,"27855",80,1,2020
"ANTONIO CALHAU",11,"04502",22,1,2020
"ENELTO",11,"91880",25,1,2020
"HERTZ DIAS",11,"09210",16,1,2020
"PROFESSOR MAX",11,"35971",50,1,2020
"GAO",11,"37214",20,1,2020
"OSMAR FICK",11,"66354",50,1,2020
"MARCONE AMARAL",11,"36110",55,1,2020
"PAULO SILVA",11,"67172",12,1,2020
"EDINON",11,"03131",40,1,2020
"BRUNO ENGLER",11,"41238",28,1,2020
"TAKEDA",11,"62111",10,1,2020
"TIAO BOCALOM",11,"01392",11,1,2020
"KARLA MARIA",11,"08494",20,1,2020
"BRUNO",11,"23221",28,1,2020
"DRA MARY",11,"12238",43,1,2020
"ZE OSMAR",11,"12211",13,1,2020
"ILSON BICUDO",11,"91154",18,1,2020
"GLEDSON BEZERRA",11,"14478",19,1,2020
"ANDRE MAZON",11,"67172",14,1,2020
"ROSA PINHEIRO",11,"08656",13,1,2020
"GUILHERME SIRIANO",11,"93653",77,1,2020
"DR BRUNO CALIL",11,"58190",77,1,2020
"DELEGADA SHEILA",11,"47333",17,1,2020
"GONZAGA",11,"05053",45,1,2020
"DODO MADALENA",11,"56391",55,1,2020
"GIORDANNA MANO",11,"14877",22,1,2020
"JOVANE JUNIOR",11,"40312",70,1,2020
"DR ADRIANO",11,"58254",45,1,2020
"EDSON MARCIO",11,"83836",19,1,2020
"FREDSON",11,"04308",19,1,2020
"PEDRO PIPA",11,"24970",12,1,2020
"JUNIOR BENATO",11,"75990",55,1,2020
"MELEM",11,"05576",10,1,2020
"DIRCINEU BOLINA",11,"73571",25,1,2020
"PROFESSOR BETINHO",11,"66893",17,1,2020
"THALLES COSTA",11,"31810",22,1,2020
"MAX DORNELLYS BORBOLETA OUTLET",11,"73440",36,1,2020
"JOSE NILTON INTERNET",11,"90905",17,1,2020
"JAIRO CARNEIRO",11,"86835",13,1,2020
"JANIA COSTA",11,"52493",14,1,2020
"DOUTOR ALOISIO",11,"13854",90,1,2020
"MAURO INACIO",11,"69698",50,1,2020
"DOMINGUINHOS",11,"31410",13,1,2020
"FABIANO",11,"90913",11,1,2020
"FRANKLIN LEITE",11,"39071",25,1,2020
"KLEBER FRANCA",11,"96091",51,1,2020
"EDUARDO DAVID",11,"15776",22,1,2020
"ARIANA AQUINO",11,"15997",10,1,2020
"MARCUCCI",11,"81795",10,1,2020
"GILMA GERMANO",11,"21296",40,1,2020
"LOUVADO",11,"18759",55,1,2020
"DR MATEUS",11,"95796",23,1,2020
"ADIB ELIAS",11,"93017",19,1,2020
"JOAO GONCALVES JUNIOR",11,"00159",45,1,2020
"ERICK",11,"33596",55,1,2020
"WILLIAM TEIXEIRA",11,"63134",16,1,2020
"GENECI GONCALVES",11,"00035",16,1,2020
"ERNANI DANIEL",11,"85898",11,1,2020
"PE ROXO",11,"36617",50,1,2020
"JOSILDA LOPES",11,"20435",23,1,2020
"ALEX CAVALCANTE",11,"74187",55,1,2020
"SIMONY ANJOS",11,"67890",50,1,2020
"SIMONE",11,"19275",23,1,2020
"SOUZINHA",11,"22110",11,1,2020
"PAULO HENRIQUE TEIXEIRA",11,"14290",17,1,2020
"SERGIO ALBA",11,"62197",77,1,2020
"ARTHUR BISPO",11,"87858",16,1,2020
"CORONEL RILDO",11,"00132",19,1,2020
"FERNANDO TEIXEIRA",11,"16691",45,1,2020
"OSORIO SOM",11,"92002",23,1,2020
"MARLY VALDINEIS",11,"95575",10,1,2020
"ANGELUS FIGUEIRA",11,"02534",20,1,2020
"HUGO MORENO",11,"58670",16,1,2020
"RODRIGO GOULART",11,"95630",40,1,2020
"BARATAO",11,"91596",18,1,2020
"NELENE GOMES",11,"07080",12,1,2020
"TICO",11,"90816",51,1,2020
"AURIDEA SANTOS",11,"12475",14,1,2020
"HAGAHUS NETTO",11,"93416",14,1,2020
"LEO MATOS",11,"10871",15,1,2020
"JOSE ARIMATEIA",11,"35157",10,1,2020
"RICARDO RAMOS",11,"24970",45,1,2020
"ALEXANDRINO GARCIA",11,"91715",45,1,2020
"DELMO LUIZ SIMAO",11,"41572",51,1,2020
"BOLOTA",11,"56715",40,1,2020
"RAFAEL GODOI",11,"00299",55,1,2020
"AMILCAR JUNIOR",11,"96750",15,1,2020
"NATANZINHO",11,"07790",11,1,2020
"JULIO CESAR",11,"07153",55,1,2020
"ROZE",11,"56200",12,1,2020
"LORENE FIGUEIREDO",11,"47333",50,1,2020
"NENE",11,"10685",15,1,2020
"TURICA",11,"14630",17,1,2020
"ZEINHA",11,"24376",40,1,2020
"DR LOBATO",11,"08958",23,1,2020
"QUINTO FILHO MARCUS ODILON",11,"21750",20,1,2020
"DR MAURO",11,"56979",18,1,2020
"TENENTE SANDER",11,"46019",10,1,2020
"DAVI SILVA",11,"96830",10,1,2020
"MARIANA LIRA",11,"07340",50,1,2020
"AMARILDO LOVATO",11,"57037",17,1,2020
"WAGNER BALIEIRO",11,"70998",13,1,2020
"ZE IDILIO",11,"12122",15,1,2020
"JOAQUIM RAUSIS",11,"74446",13,1,2020
"RAIMUNDO JOSE CRISPIM",11,"10200",15,1,2020
"FRANCIMAR",11,"73296",15,1,2020
"FONTOURA",11,"83674",13,1,2020
"ALEX TESTONI",11,"00175",25,1,2020
"WILSON SILVA",11,"17973",18,1,2020
"ALEXANDRE XAMBINHO",11,"56995",22,1,2020
"EDISON SECAFIM",11,"72257",14,1,2020
"KAIKA",11,"28452",55,1,2020
"SERGIO ONOFRE",11,"15270",23,1,2020
"JUNIOR ASSIS",11,"04219",10,1,2020
"WILSON MANCAMBIRA",11,"34053",40,1,2020
"TANIA PORTUGAL",11,"38890",65,1,2020
"PROFESSORA WANDA",11,"07510",65,1,2020
"ORLANDO NASCIMENTO",11,"02259",70,1,2020
"FELIPE COUTINHO",11,"21490",10,1,2020
"PROFESSORA LIVIA MIRANDA",11,"58777",65,1,2020
"AUGUSTO CASTRO",11,"35971",55,1,2020
"NOVINHO",11,"16535",45,1,2020
"MARCELO PALHARES",11,"76295",55,1,2020
"FURTUNATO MASCARENHAS",11,"12300",14,1,2020
"ACIR MORAIS",11,"75973",11,1,2020
"MESTRE RODRIGO",11,"62219",50,1,2020
"THOMAZ",11,"91499",15,1,2020
"MURILO SOUSA",11,"04405",77,1,2020
"PROF BIBO BOZZINI",11,"61654",13,1,2020
"NELSON CARRETAS",11,"04421",11,1,2020
"DANDAN MEDEIROS",11,"90301",22,1,2020
"PERCY STORCK",11,"82678",55,1,2020
"SEBASTIAO MELO",11,"88013",15,1,2020
"NACO",11,"68977",23,1,2020
"MIGUEL CAMARA",11,"00132",40,1,2020
"TINHO",11,"39454",40,1,2020
"RICARDO GARCIA",11,"46671",70,1,2020
"RODRIGO MAIA",11,"49573",19,1,2020
"SERAFIM",11,"92363",25,1,2020
"OSWALDO MURAD",11,"90590",51,1,2020
"FABIO PERSI",11,"45535",33,1,2020
"CASSIUS PERFIL",11,"93793",45,1,2020
"GILSON SOUZA",11,"64254",25,1,2020
"DR LAPENA",11,"61638",51,1,2020
"RODRIGO OLIVEIRA",11,"81132",13,1,2020
"KEINHA",11,"33413",12,1,2020
"ELIEZER NARDOTO",11,"56979",28,1,2020
"RITTI",11,"78590",15,1,2020
"CORONEL FEITOSA",11,"25313",20,1,2020
"PEDRO VIVIANI",11,"68977",33,1,2020
"NEGA",11,"92240",77,1,2020
"ZE GERARDO",11,"13730",15,1,2020
"FAVINHO FERRAZ",11,"24139",70,1,2020
"JACKSON AZEVEDO",11,"04154",28,1,2020
"CARMELINA O",11,"12254",14,1,2020
"ACRISIO PEREIRA",11,"31836",15,1,2020
"SANTOS",11,"31950",27,1,2020
"JULINHO LIMA",11,"77453",51,1,2020
"WILLIAN ZANOLLI",11,"67792",13,1,2020
