"pretty_name","company_id","has_abep","has_conre","avg","spm","weighted_pm","n","rev_mean","pred_pm","pred_pm_alt","bin","grade"
"6 Sigma","13358105000169",TRUE,FALSE,4.382,-0.569,-0.515,13,-0.242,-0.325,0.171,3,"B+"
"Access","06271706000174",FALSE,FALSE,7.294,1.444,1.712,19,0.634,1.052,0.95,6,"C"
"Acertar","04717077000138",TRUE,FALSE,3.847,-0.903,-0.317,5,-0.242,-0.253,0.356,3,"B+"
"Advise","07804258000190",FALSE,FALSE,9.064,3.64,3.625,7,0.634,1.2,1.065,6,"C"
"Agili Pesquisas","09610985000141",FALSE,TRUE,7.114,1.425,1.425,5,-0.242,-0.004,0.605,3,"B+"
"Agora Pesquisa (BA)","14293213000163",FALSE,FALSE,3.828,-2.31,-2.31,6,0.634,0.143,0.005,4,"B"
"Ágora Pesquisa (RJ)","19557018000117",FALSE,FALSE,3.923,-1.733,-1.667,8,0.634,0.15,0.019,4,"B"
"Agorasei Pesquisa","AGORASEI",FALSE,FALSE,5.292,-0.297,-0.38,34,0.634,0.095,0.017,4,"B"
"Alternativa Dados","03846350000161",FALSE,FALSE,6.722,1.499,1.499,12,0.634,0.881,0.763,5,"B-"
"American Analytics","34972238000109",FALSE,TRUE,5.934,0.281,0.775,5,-0.242,-0.097,0.512,3,"B+"
"Avaliar Pesquisa","32844376000179",FALSE,FALSE,7.049,1.063,-0.293,5,0.634,0.501,0.359,5,"B-"
"Badra Comunicação","04209958000148",FALSE,TRUE,4.453,-0.432,-0.374,11,-0.242,-0.278,0.242,3,"B+"
"BMO","01217178000151",FALSE,FALSE,5.669,-0.15,-0.15,5,0.634,0.522,0.38,5,"B-"
"BR Marketing","08438497000136",FALSE,FALSE,9.336,3.44,3.5,8,0.634,1.237,1.106,6,"C"
"Brasil Dados","19812752000185",FALSE,FALSE,8.035,0.599,0.611,10,0.634,0.628,0.504,5,"B-"
"Camminus Marketing","28376850000108",FALSE,FALSE,4.798,-0.075,0.006,8,0.634,0.502,0.371,5,"B-"
"Captavox","11716486000185",FALSE,FALSE,3.839,-1.984,-1.743,11,0.634,-0.004,-0.125,3,"B+"
"Census Pesquisas","09471067000189",FALSE,FALSE,6.799,0.742,0.654,11,0.634,0.639,0.518,5,"B-"
"Certifica Consultoria","20972537000120",FALSE,FALSE,4.535,-0.993,-1.05,10,0.634,0.213,0.089,4,"B"
